Unnamed: 0,abstract,abstract_url,access_type,article_number,citing_paper_count,citing_patent_count,content_type,doi,end_page,html_url,is_number,issn,issue,pdf_url,publication_date,publication_number,publication_title,publication_year,publisher,rank,start_page,title,volume,authors.authors,index_terms.author_terms.terms,index_terms.ieee_terms.terms
122,"A novel hybrid pulse-width-modulation resonant converter is presented in this paper for electric vehicle (EV) 3.3-kW on-board battery chargers (OBCs). While the proposed converter has all the benefits of the earlier developed hybrid converters for OBCs, the proposed converter has fewer components and achieves much lower voltage stress in the rectifying diodes compared to the earlier hybrid converters. As a result, it is possible to employ superior diodes such as Schottky barrier diodes below 300 V featuring low forward-voltage drop and better reverse-recovery for EV 3.3-kW OBC applications. In addition, the proposed converter achieves much better transformer utilization compared to the earlier hybrid converters. Due to this, the proposed converter can achieve more optimal efficiency over the overall battery charging profile. The effectiveness of the proposed converter has been verified with the experimental results under an output voltage range of 250-420-V dc at 3.3 kW.",https://ieeexplore.ieee.org/document/7156135/,LOCKED,7156135,64,0,Journals,10.1109/TPEL.2015.2456635,3649,https://ieeexplore.ieee.org/document/7156135/,7352399,1941-0107,5.0,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7156135,May 2016,63,IEEE Transactions on Power Electronics,2016,IEEE,123,3639,Hybrid PWM-Resonant Converter for Electric Vehicle On-Board Battery Chargers,31,"[{'affiliation': 'Department of Electrical Energy Engineering, Keimyung University, Daegu, Korea', 'authorUrl': 'https://ieeexplore.ieee.org/author/37715606700', 'author_order': 1, 'full_name': 'Il-Oun Lee', 'id': 37715606700}]","['Electric vehicle', 'on-board battery charger', 'phase-shift full-bridge converter', 'Electric vehicle (EV)', 'on-board battery charger (OBC)', 'phase-shift full-bridge converter (PSFBC)']","['Schottky diodes', 'Batteries', 'Capacitors', 'Stress', 'Inductors', 'Battery chargers', 'DC-DC power converters']"
123,"This paper proposes a novel topological solution for pulsed power converters based on capacitor-discharge topologies, integrating a Fast Voltage Compensator which allows an operation at constant power consumption from the utility grid. This solution has been retained as a possible candidate for the CLIC project under study at CERN, which requires more than a thousand synchronously-operated klystron modulators producing a total pulsed power of almost 40 GW. The proposed Fast Voltage Compensator is integrated in the modulator such that it only has to treat the capacitor charger current and a fraction of the charging voltage, meaning that its dimensioning power and cost are minimized. This topology can be used to improve the AC power quality of any pulsed converters based on capacitor-discharge concept. A prototype has been built and exploited to validate the operating principle and demonstrate the benefits of the proposed solution.",https://ieeexplore.ieee.org/document/7179155/,LOCKED,7179155,1,0,Journals,10.1109/TDEI.2015.005046,1970,https://ieeexplore.ieee.org/document/7179155/,7179123,1558-4135,4.0,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7179155,August 2015,94,IEEE Transactions on Dielectrics and Electrical Insulation,2015,IEEE,124,1963,Solid-state fast voltage compensator for pulsed power applications requiring constant AC power consumption,22,"[{'affiliation': 'CERN – European Organization for Nuclear Research., Technology Department, Electric Power Converters Group, Switzerland', 'authorUrl': 'https://ieeexplore.ieee.org/author/38548482200', 'author_order': 1, 'full_name': 'Francisco Cabaleiro Magallanes', 'id': 38548482200}, {'affiliation': 'CERN – European Organization for Nuclear Research., Technology Department, Electric Power Converters Group, Switzerland', 'authorUrl': 'https://ieeexplore.ieee.org/author/37669600600', 'author_order': 2, 'full_name': 'Davide Aguglia', 'id': 37669600600}, {'affiliation': 'Laval University, LEEPCI Lab., Electrical and Computer Eng., Canada', 'authorUrl': 'https://ieeexplore.ieee.org/author/37266950900', 'author_order': 3, 'full_name': 'Philippe Viarouge', 'id': 37266950900}, {'affiliation': 'Laval University, LEEPCI Lab., Electrical and Computer Eng., Canada', 'authorUrl': 'https://ieeexplore.ieee.org/author/37266951700', 'author_order': 4, 'full_name': 'Jérôme Cros', 'id': 37266951700}]","['Klystrons', 'power quality', 'pulsed power systems', 'switching converters']","['Capacitors', 'Voltage control', 'Fluctuations', 'Topology', 'Modulation', 'Power harmonic filters', 'Power demand']"
124,"In this paper, we consider modeling and prediction of power loads due to fast charging stations for plug-in electric vehicles (EV). The first part of this paper is to simulate work of a fast charger activity by exploiting empirical data that characterize EV user behavior. The second part describes the time series obtained by this simulator and its properties. We show that the power load aggregated over a number of fast chargers (after deseasonalizing and elimination of the linear trend) is a self-similar process with the Hurst parameter 0.57 &lt;; H &lt;; 0.67, where H varies depending on the multiplexing level. The main contribution of this paper is empirical evidence that a fitted fractional autoregressive integrated moving average (fARIMA) model taking into account self-similarity of the load time series can yield high-quality short-term forecasts when H is large enough. Namely, the fitted fARIMA model uniformly outperforms regular ARIMA algorithms in terms of root-mean-square error for predictions with time horizon up to 120 min for H ≥ 0.639. Moreover, we show that the fARIMA advantage on average grows as a function of the Hurst exponent H. Computational experiments demonstrate that this edge is stably greater than 1.1% and can be as high as 5-7% for some scenarios.",https://ieeexplore.ieee.org/document/7182352/,LOCKED,7182352,24,0,Journals,10.1109/TSG.2015.2458852,1629,https://ieeexplore.ieee.org/document/7182352/,7456360,1949-3061,3.0,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7182352,May 2016,5165411,IEEE Transactions on Smart Grid,2016,IEEE,125,1620,Modeling and Forecasting Self-Similar Power Load Due to EV Fast Chargers,7,"[{'affiliation': 'Operations Research Center, Massachusetts Institute of Technology, Cambridge, MA, USA', 'authorUrl': 'https://ieeexplore.ieee.org/author/37085792117', 'author_order': 1, 'full_name': 'Nikita Korolko', 'id': 37085792117}, {'affiliation': 'Mitsubishi Electric Research Laboratories, Cambridge, MA, USA', 'authorUrl': 'https://ieeexplore.ieee.org/author/37271191500', 'author_order': 2, 'full_name': 'Zafer Sahinoglu', 'id': 37271191500}, {'affiliation': 'Mitsubishi Electric Research Laboratories, Cambridge, MA, USA', 'authorUrl': 'https://ieeexplore.ieee.org/author/37284684700', 'author_order': 3, 'full_name': 'Daniel Nikovski', 'id': 37284684700}]","['Demand forecasting', 'load modeling', 'self-similarity', 'Demand forecasting', 'load modeling', 'self-similarity']","['Load modeling', 'Time series analysis', 'Predictive models', 'Aggregates', 'Forecasting', 'System-on-chip', 'Market research']"
125,"This paper suggests a new hybrid dc-dc converter for a neighborhood electric vehicle battery charger. The proposed converter is based on the conventional phase-shift full-bridge (PSFB) converter with center-tap rectifier. By integrating an LLC series resonant converter into the conventional PSFB converter, the proposed converter has many advantages like wide soft-switching range without duty-cycle loss, zero-current-switching operation of rectifying diodes, minimized circulating current, reduced size of filter inductor, and much better transformer utilization than before presented hybrid dc-dc converters. The proposed converter can be modulated in phase-shift manner or frequency variation. The feasibility of the proposed converter has been verified with the experimental results under an output voltage range of 36-72 V dc at 1 kW.",https://ieeexplore.ieee.org/document/7247705/,LOCKED,7247705,54,0,Journals,10.1109/TIE.2015.2477345,893,https://ieeexplore.ieee.org/document/7247705/,7377137,1557-9948,2.0,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7247705,Feb. 2016,41,IEEE Transactions on Industrial Electronics,2016,IEEE,126,884,Hybrid DC–DC Converter With Phase-Shift or Frequency Modulation for NEV Battery Charger,63,"[{'affiliation': 'Dept. of Electr. Energy Eng., Keimyung Univ., Daegu, South Korea', 'authorUrl': 'https://ieeexplore.ieee.org/author/37715606700', 'author_order': 1, 'full_name': 'Il-Oun Lee', 'id': 37715606700}]","['Neighborhood electric vehicle', 'battery charger', 'phase-shift full-bridge converter', 'Battery charger', 'neighborhood electric vehicle (NEV)', 'phase-shift full-bridge (PSFB) converter']","['Batteries', 'Battery chargers', 'DC-DC power converters', 'Rectifiers', 'Zero voltage switching', 'Zero current switching', 'Frequency modulation']"
126,"This paper suggests another candidate for a dc/dc converter in an electric vehicle onboard charger. Maintaining topological characteristics similar to those of conventional resonant converters, it is operated with a constant frequency PWM for charging control. Since the converter uses a secondary resonant tank, soft-switching and resonant operations can be separated. A practical design procedure is suggested to guarantee the normal operation, and the feasibility of the PWM SRT converter is verified with a 6.6-kW prototype charger designed by the procedure.",https://ieeexplore.ieee.org/document/7273897/,LOCKED,7273897,26,0,Journals,10.1109/TIE.2015.2480384,902,https://ieeexplore.ieee.org/document/7273897/,7377137,1557-9948,2.0,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7273897,Feb. 2016,41,IEEE Transactions on Industrial Electronics,2016,IEEE,127,894,A PWM SRT DC/DC Converter for 6.6-kW EV Onboard Charger,63,"[{'affiliation': 'Dept. of Electr. Eng., Myongji Univ., Yongin, South Korea', 'authorUrl': 'https://ieeexplore.ieee.org/author/37085629649', 'author_order': 1, 'full_name': 'Byung-Kwon Lee', 'id': 37085629649}, {'affiliation': 'Adv. Eco-Vehicle Team, Hyundai Motor Co., Seoul, South Korea', 'authorUrl': 'https://ieeexplore.ieee.org/author/37085626768', 'author_order': 2, 'full_name': 'Jong-Pil Kim', 'id': 37085626768}, {'affiliation': 'Adv. Eco-Vehicle Team, Hyundai Motor Co., Seoul, South Korea', 'authorUrl': 'https://ieeexplore.ieee.org/author/37085616433', 'author_order': 3, 'full_name': 'Sam-Gyun Kim', 'id': 37085616433}, {'affiliation': 'Dept. of Electr. Eng., Myongji Univ., Yongin, South Korea', 'authorUrl': 'https://ieeexplore.ieee.org/author/37280313400', 'author_order': 4, 'full_name': 'Jun-Young Lee', 'id': 37280313400}]","['Battery charger', 'Resonant converter', 'DC/DC converter', 'Battery charger', 'dc/dc converter', 'resonant converter']","['Pulse width modulation', 'Magnetic resonance', 'Zero voltage switching', 'Inductance', 'Magnetic separation', 'Video recording']"
127,"Electric vehicle (EV) integration into the distribution system has been a topic of great interest lately due to the potential challenges that it poses. Previous works have focused on either centralized charge control or distributed charge control to solve these issues. In this paper, an adaptive voltage-feedback controller for an onboard EV charger is proposed, which, unlike other proposed methods, requires no real-time communication between the EV and the utility. This controller compares the system voltage at the point of charging with a preset reference voltage. EV charging is reduced as the system voltage approaches this reference. The reduced charging rate takes into account the EV battery state of charge (SOC) and the owner's end-of-charge time (ECT) preference. To validate the proposed control structure, extensive simulations are carried out on a distribution system with and without other voltage control mechanisms. Simulation results show that this method can eliminate system voltage violations that would otherwise be caused by EV charging while ensuring fairness among the various EVs, even with different system configurations and EV penetration levels. The proposed controller shows good performance in the presence of other voltage control devices and distributed generation units. Moreover, it can integrate with vehicle-to-grid services as the lowest level of hierarchical control.",https://ieeexplore.ieee.org/document/7275178/,LOCKED,7275178,48,0,Journals,10.1109/TVT.2015.2481712,4196,https://ieeexplore.ieee.org/document/7275178/,7493708,1939-9359,6.0,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7275178,June 2016,25,IEEE Transactions on Vehicular Technology,2016,IEEE,128,4185,A Voltage-Based Controller for an Electric-Vehicle Charger,65,"[{'affiliation': 'Department of Electrical Engineering, King Fahd University of Petroleum and Minerals, Dhahran, Saudi Arabia', 'authorUrl': 'https://ieeexplore.ieee.org/author/38275962400', 'author_order': 1, 'full_name': 'Ali T. Al-Awami', 'id': 38275962400}, {'affiliation': 'University of Washington Bothell, Bothell, WA, USA', 'authorUrl': 'https://ieeexplore.ieee.org/author/37594028400', 'author_order': 2, 'full_name': 'Eric Sortomme', 'id': 37594028400}, {'affiliation': 'Pakistan Petroleum Limited, Karachi, Pakistan', 'authorUrl': 'https://ieeexplore.ieee.org/author/37085577578', 'author_order': 3, 'full_name': 'Ghous Muhammad Asim Akhtar', 'id': 37085577578}, {'affiliation': 'Department of Electrical Engineering, King Fahd University of Petroleum and Minerals, Dhahran, Saudi Arabia', 'authorUrl': 'https://ieeexplore.ieee.org/author/37085802687', 'author_order': 4, 'full_name': 'Samy Faddel', 'id': 37085802687}]","['Electric Vehicles', 'Charge Control', 'Feedback control', 'voltage control mechanisms', 'Charge control', 'electric vehicles (EVs)', 'feedback control', 'voltage control mechanisms']","['Voltage control', 'Batteries', 'System-on-chip', 'Adaptive control', 'Petroleum', 'Loading', 'Standards']"
128,"The plug-in electric vehicle (PEV) is a new atypical load in power systems. In future, PEV load will play a significant role in the distribution grids. This integrated load into the power grid may overload the system components, increase power losses, and affect the voltage profile in the distribution systems. Currently, the constant power load model is most commonly used for the modeling of the electric vehicle (EV) load that considers the EV loads as constant power elements without considering the voltage dependence of the EV charging system. EV load demand cannot be considered as a constant power due to the fact that modeling as a constant power load will not provide accurate information about the behavior of the charging system during the charging process. In this paper, an accurate model representing the realistic behavior of EV load is developed which is based on the ZIP load model with the ZIP parameters established through the realistic EV load data. The proposed model can be used to analyze the true behavior of the EV charger integrated to an electricity grid and determine the impacts of EV charging load on the grid. A realistic charging system was used to test and capture the EV load behavior and extract the coefficients of the EV ZIP load model, which have been verified using computer simulations and laboratory experiments. Additionally, a comparative study between the proposed ZIP load model and the constant power load model was carried out, and the results were verified with the practical EV load data. The results confirm that EV represented using constant power load will not provide the true reflection of the EV load behavior and the EV impacts on the power grid.",https://ieeexplore.ieee.org/document/7283610/,LOCKED,7283610,73,0,Journals,10.1109/TIA.2015.2483705,492,https://ieeexplore.ieee.org/document/7283610/,7384815,1939-9367,1.0,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7283610,Jan.-Feb. 2016,28,IEEE Transactions on Industry Applications,2016,IEEE,129,483,Behavioral Characterization of Electric Vehicle Charging Loads in a Distribution Power Grid Through Modeling of Battery Chargers,52,"[{'affiliation': 'Sch. of Electr., Comput. & Telecommun. Eng., Univ. of Wollongong, Wollongong, NSW, Australia', 'authorUrl': 'https://ieeexplore.ieee.org/author/37534355900', 'author_order': 1, 'full_name': 'Ahmed M. A. Haidar', 'id': 37534355900}, {'affiliation': 'Sch. of Electr., Comput. & Telecommun. Eng., Univ. of Wollongong, Wollongong, NSW, Australia', 'authorUrl': 'https://ieeexplore.ieee.org/author/37396708900', 'author_order': 2, 'full_name': 'Kashem M. Muttaqi', 'id': 37396708900}]","['Plug-in electric vehicle', 'EV load modeling', 'Battery charger', 'Battery state of charge', 'Battery charger', 'battery state of charge (SOC)', 'electric vehicle (EV) load modeling', 'plug-in electric vehicle (PEV)']","['Batteries', 'Load modeling', 'Battery chargers', 'Voltage control', 'Mathematical model', 'Topology', 'System-on-chip']"
129,"A natural evolution in public transportation vehicles is the development toward electric-driven buses (e-buses). Battery weight and volume is still a challenge in the electrification of general-purpose vehicles, but the urban bus systems have some characteristics that can be explored to address such issues. In particular, the predefined routes and stops create opportunities for reduction of onboard storage capacity through regular ultra-fast charging (R-UFC), based on chargers installed next to the boarding stations. This paper proposes a power architecture for UFC stations using the true unity power factor (TUPF) rectifier as the charger front end and interleaved dc-dc converters as the charger output. Both technologies contribute significantly to the reduction of filter components and assure high power quality standards. The proposed TUPF rectifier eliminates all harmonic orders up to the 50th, operates with low switching frequency, and does not require sinusoidal filters. The UFC stations are presented, and their investigation is carried on using computer simulations of a 400-kW application. The proposed concept is verified experimentally using a laboratory test setup.",https://ieeexplore.ieee.org/document/7308062/,LOCKED,7308062,12,0,Journals,10.1109/TIA.2015.2495279,1774,https://ieeexplore.ieee.org/document/7308062/,7435355,1939-9367,2.0,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7308062,March-April 2016,28,IEEE Transactions on Industry Applications,2016,IEEE,130,1766,Hundreds kW Charging Stations for e-Buses Operating Under Regular Ultra-Fast Charging,52,"[{'affiliation': 'Electr. Eng., Fed. Univ. of Minas Gerais, Belo Horizonte, Brazil', 'authorUrl': 'https://ieeexplore.ieee.org/author/37846932400', 'author_order': 1, 'full_name': 'Júlio César Guerra Justino', 'id': 37846932400}, {'affiliation': 'Electr. Eng., Fed. Univ. of Minas Gerais, Belo Horizonte, Brazil', 'authorUrl': 'https://ieeexplore.ieee.org/author/37085532212', 'author_order': 2, 'full_name': 'Thiago Morais Parreiras', 'id': 37085532212}, {'affiliation': 'Electr. Eng., Fed. Univ. of Minas Gerais, Belo Horizonte, Brazil', 'authorUrl': 'https://ieeexplore.ieee.org/author/37085347512', 'author_order': 3, 'full_name': 'Braz J. Cardoso Filho', 'id': 37085347512}]","['AC–DC power conversion', 'converters', 'power electronics', 'road vehicle power systems', 'transportation']","['Power harmonic filters', 'Rectifiers', 'Harmonic analysis', 'Pulse width modulation', 'Batteries', 'Power conversion']"
130,"The parallel three-level dc-dc converter has some merits over the conventional two-level buck converter when employed for fast chargers in a bipolar-dc-bus charging station. It can be directly connected to the bipolar dc bus, and can operate with the total neutral-point current eliminated under the 180°-interleaved mode, which guarantees balanced power consumption and helps decrease dc-bus voltage fluctuation. However, this incurs circulating currents, leading to increased losses and additional current stress to switching devices. To solve this issue, an integrated inductor is proposed in this paper. The inductor has an integrated magnetic core with both output and circulating windings placed on it, producing inductances to filter output currents and to attenuate circulating currents respectively. The circulating inductance can be flexibly adjusted to be much higher than the output inductance, so that the circulating currents can be well attenuated. The output and circulating inductances, along with the ratio between them, are deduced in detail. The current ripples are analyzed and compared under two operation modes with separate and integrated inductors, respectively. The weight, losses, and volume have also been compared between separate and integrated inductors. Both simulation and experimental results are presented to verify the effectiveness of the proposed integrated inductor.",https://ieeexplore.ieee.org/document/7314924/,LOCKED,7314924,31,0,Journals,10.1109/TIE.2015.2496904,1371,https://ieeexplore.ieee.org/document/7314924/,7401175,1557-9948,3.0,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7314924,March 2016,41,IEEE Transactions on Industrial Electronics,2016,IEEE,131,1362,An Integrated Inductor for Eliminating Circulating Current of Parallel Three-Level DC–DC Converter-Based EV Fast Charger,63,"[{'affiliation': 'Department of Electrical and Computer Engineering, Ryerson University, Toronto, ON, Canada', 'authorUrl': 'https://ieeexplore.ieee.org/author/37085622570', 'author_order': 1, 'full_name': 'Longcheng Tan', 'id': 37085622570}, {'affiliation': 'Murata Power Solutions, Inc., Toronto, ON, Canada', 'authorUrl': 'https://ieeexplore.ieee.org/author/37951256100', 'author_order': 2, 'full_name': 'Ning Zhu', 'id': 37951256100}, {'affiliation': 'Department of Electrical and Computer Engineering, Ryerson University, Toronto, ON, Canada', 'authorUrl': 'https://ieeexplore.ieee.org/author/37275265600', 'author_order': 3, 'full_name': 'Bin Wu', 'id': 37275265600}]","['Electric vehicles', 'fast charger', 'integrated inductor', 'interleaved operation', 'three-level dc-dc converter', 'Electric vehicles (EVs)', 'fast charger', 'integrated inductor', 'interleaved operation', 'three-level dc–dc converter']","['Inductors', 'Inductance', 'DC-DC power converters', 'Switches', 'Integrated circuits', 'Charging stations', 'Stress']"
131,"This paper aims to study the power factor (PF) correction scheme for a single-phase on-board charger of electric vehicles. The topology is based on a unidirectional current source active rectifier (CSAR) consisting of four insulated-gate bipolar transistors in series with four diodes followed by a boost converter. Buck-type rectifiers inject low-order input current harmonics into the ac mains. Thus, an inductor-capacitor (LC) input filter is employed. The capacitor's reactive energy results in a leading grid current. In order to achieve a unity displacement power factor, a phase shift control is implemented. However, the LC filter is prone to series and parallel resonances coming from the grid disturbances and the converter harmonics, respectively. Therefore, the phase shift control strategy combined with the topology of the CSAR results in a periodical resonance of the input filter. This phenomenon is studied in detail. In order to reduce the grid current's distortion level, an active damping control with resonance frequency tracking that achieves a good PF while meeting the IEC's international standards on harmonic current emissions is presented. An experimental test bench is developed to validate the simulations' theoretical findings. Compliance with the standards is achieved and system limitations are discussed.",https://ieeexplore.ieee.org/document/7330013/,LOCKED,7330013,31,0,Journals,10.1109/TPEL.2015.2500958,6202,https://ieeexplore.ieee.org/document/7330013/,7440769,1941-0107,9.0,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7330013,Sept. 2016,63,IEEE Transactions on Power Electronics,2016,IEEE,132,6192,Challenges Facing PFC of a Single-Phase On-Board Charger for Electric Vehicles Based on a Current Source Active Rectifier Input Stage,31,"[{'affiliation': 'Renault S.A.S, Laboratory of Systems and Applications of Information and Energy Technologies, Cachan, France', 'authorUrl': 'https://ieeexplore.ieee.org/author/37086820719', 'author_order': 1, 'full_name': 'Christelle Saber', 'id': 37086820719}, {'affiliation': 'Conservatoire National des Arts et Métiers, Paris, France', 'authorUrl': 'https://ieeexplore.ieee.org/author/37974464500', 'author_order': 2, 'full_name': 'Denis Labrousse', 'id': 37974464500}, {'affiliation': 'Ecole Normale Supérieure de Cachan, Cachan, France', 'authorUrl': 'https://ieeexplore.ieee.org/author/37267513900', 'author_order': 3, 'full_name': 'Bertrand Revol', 'id': 37267513900}, {'affiliation': 'Renault SAS, Guyancourt, France', 'authorUrl': 'https://ieeexplore.ieee.org/author/37085421780', 'author_order': 4, 'full_name': 'Alain Gascher', 'id': 37085421780}]","['Battery charger', 'current source active rectifier', 'electric vehicle', 'filter resonance', 'frequency tracking', 'phase-shift control', 'power factor correction', 'self-tuning active damping', 'Battery charger', 'current source active rectifier (CSAR)', 'electric vehicle (EV)', 'filter resonance', 'frequency tracking', 'phase shift control', 'power factor correction (PFC)', 'self-tuning active damping']","['Power harmonic filters', 'Phase locked loops', 'Harmonic analysis', 'Capacitors', 'Rectifiers', 'Filtering', 'Damping']"
132,"The paper considers integration of multiphase (more than three phases) machines and converters into a single-phase charging process of electric vehicles (EVs) and, thus, complements recently introduced fast charging solutions for the studied phase numbers. One entirely novel topology, employing a five-phase machine, is introduced and assessed jointly with three other topologies that use an asymmetrical nine-phase machine, an asymmetrical six-phase machine, and a symmetrical six-phase machine. In all topologies, both charging and vehicle-to-grid (V2G) mode are viable. Moreover, all are capable of unity power factor operation. A torque is not produced in machines during charging/V2G process so that mechanical locking is not required. Hardware reconfiguration between propulsion and charging/V2G mode is either not required or minimized by using a single switch. Theoretical analysis of operating principles is given, and a control scheme, applicable to all topologies and which includes current balancing and interleaving strategy, is developed. Finally, operation of all topologies is compared by means of experiments in both charging and V2G mode, with a discussion of influence of current balancing and interleaving strategy on the overall performance.",https://ieeexplore.ieee.org/document/7339697/,CCBY - IEEE is not the copyright holder of this material. Please follow the instructions via https://creativecommons.org/licenses/by/4.0/ to obtain full-text articles and stipulations in the API documentation.,7339697,81,0,Journals,10.1109/TPEL.2015.2504400,6523,https://ieeexplore.ieee.org/document/7339697/,7440769,1941-0107,9.0,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7339697,Sept. 2016,63,IEEE Transactions on Power Electronics,2016,IEEE,133,6511,Single-Phase On-Board Integrated Battery Chargers for EVs Based on Multiphase Machines,31,"[{'affiliation': 'School of Engineering, Technology, and Maritime Operations, Liverpool John Moores University, Liverpool, U.K.', 'authorUrl': 'https://ieeexplore.ieee.org/author/38488563400', 'author_order': 1, 'full_name': 'Ivan Subotic', 'id': 38488563400}, {'affiliation': 'School of Engineering, Technology, and Maritime Operations, Liverpool John Moores University, Liverpool, U.K.', 'authorUrl': 'https://ieeexplore.ieee.org/author/37947649800', 'author_order': 2, 'full_name': 'Nandor Bodo', 'id': 37947649800}, {'affiliation': 'School of Engineering, Technology, and Maritime Operations, Liverpool John Moores University, Liverpool, U.K.', 'authorUrl': 'https://ieeexplore.ieee.org/author/37278051900', 'author_order': 3, 'full_name': 'Emil Levi', 'id': 37278051900}]","['Battery chargers', 'electric vehicles', 'integrated on-board chargers', 'Battery chargers', 'electric vehicles (EVs)', 'integrated on-board chargers', 'multiphase machines']","['Topology', 'Torque', 'Production', 'Inverters', 'Propulsion', 'Integrated circuits', 'Correlation']"
133,"A switching battery charger integrated circuit (IC) for a mobile device is described which can regulate the system supply voltage and charge a Li-ion battery simultaneously. The charging current level is adaptively controlled according to the system load current and a battery can be forced to supply current to the system load when the input power is not sufficient. In order to allow a mobile device to supply power to peripheral devices, the battery charger IC can also be configured to operate as a boost dc-dc converter with the reversed direction of power flow. The operation mode of the battery charger IC is smoothly switched by adopting a diode-based mode selection scheme. Implemented in a 130-nm BCDMOS process, the battery charger IC occupies 12.25 mm<sup>2</sup> and has been verified to provide the appropriate charging profile for a Li-ion battery and regulate the system supply voltage under various operating conditions. The maximum charging current is 1.5 A and the output voltage ranges from 2.5 to 4.2 V. The maximum power efficiency of dc-dc conversion is 90% and 92%, respectively, for the buck and boost modes.",https://ieeexplore.ieee.org/document/7372478/,LOCKED,7372478,24,1,Journals,10.1109/TPEL.2016.2514518,7952,https://ieeexplore.ieee.org/document/7372478/,7499899,1941-0107,11.0,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7372478,Nov. 2016,63,IEEE Transactions on Power Electronics,2016,IEEE,134,7943,Switching Battery Charger Integrated Circuit for Mobile Devices in a 130-nm BCDMOS Process,31,"[{'affiliation': 'Integrated Circuits Laboratory, Department of Electronic Engineering, Seoul, Korea', 'authorUrl': 'https://ieeexplore.ieee.org/author/37085537648', 'author_order': 1, 'full_name': 'Min-Gyu Jeong', 'id': 37085537648}, {'affiliation': 'Integrated Circuits Laboratory, Department of Electronic Engineering, Seoul, Korea', 'authorUrl': 'https://ieeexplore.ieee.org/author/37089078145', 'author_order': 2, 'full_name': 'Sang-Hyun Kim', 'id': 37089078145}, {'affiliation': 'Integrated Circuits Laboratory, Department of Electronic Engineering, Seoul, Korea', 'authorUrl': 'https://ieeexplore.ieee.org/author/37270259700', 'author_order': 3, 'full_name': 'Changsik Yoo', 'id': 37270259700}]","['Battery charger', 'Li-ion battery', 'DC-DC conversion', 'switching converter', 'BCDMOS', 'Battery charger', 'BCDMOS', 'DC–DC conversion', 'Li-ion battery', 'switching converter']","['Batteries', 'Integrated circuits', 'Battery chargers', 'Voltage control', 'Transistors', 'Switching circuits', 'Mobile handsets']"
134,"This paper introduces a module-integrated distributed battery energy storage and management system without the need for additional battery equalizers and centralized converter interface. This is achieved by integrating power electronics onto battery cells as an integrated module. Compared with the conventional centralized battery system, the modular design brings several advantages such as reduced power rating and voltage stress of power electronics, no extra equalizers or centralized converters, active thermal distribution control ability, enhanced safety and reliability, etc. The battery system can now be built by simply attaching integrated modules together. The integrated module is implemented by a synchronous bidirectional dc/dc converter with digital control techniques. The design considerations and control strategy of the system are discussed. A prototype is built that the power electronics are integrated onto the battery cell. Experimental results of a three-module system verified that the module-integrated distributed system provides satisfied functional performance without extra equalizers, centralized charger, or bidirectional dc/dc converter.",https://ieeexplore.ieee.org/document/7378996/,LOCKED,7378996,101,0,Journals,10.1109/TPEL.2016.2517150,8270,https://ieeexplore.ieee.org/document/7378996/,7505464,1941-0107,12.0,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7378996,Dec. 2016,63,IEEE Transactions on Power Electronics,2016,IEEE,135,8260,A Module-Integrated Distributed Battery Energy Storage and Management System,31,"[{'affiliation': 'Department of Electrical and Computer Engineering, University of Wisconsin-Madison, Madison, WI, USA', 'authorUrl': 'https://ieeexplore.ieee.org/author/37078522500', 'author_order': 1, 'full_name': 'Ye Li', 'id': 37078522500}, {'affiliation': 'Department of Electrical and Computer Engineering, University of Wisconsin-Madison, Madison, WI, USA', 'authorUrl': 'https://ieeexplore.ieee.org/author/37600353100', 'author_order': 2, 'full_name': 'Yehui Han', 'id': 37600353100}]","['Battery chargers', 'battery management systems', 'distributed', 'equalizers', 'integration', 'Lithium batteries', 'modular']","['Batteries', 'Equalizers', 'Power electronics', 'Stress', 'Discharges (electric)', 'Voltage control']"
